,Date,Close,Open,High,Low,Volume,Returns
337,2015-05-18,3037.33,3020.0,3042.5,3008.0,224050.0,1.1
338,2015-05-19,3036.41,3028.0,3057.0,3016.5,286960.0,-0.03
339,2015-05-20,3015.74,3053.5,3055.5,3009.0,323200.0,-0.68
340,2015-05-21,3042.41,3012.0,3054.5,3009.0,275140.0,0.88
341,2015-05-22,3095.64,3045.5,3106.0,3040.0,313300.0,1.75
342,2015-05-25,3106.47,3120.0,3140.0,3101.5,148620.0,0.35
343,2015-05-26,3153.73,3123.0,3161.0,3116.5,333890.0,1.52
344,2015-05-27,3148.48,3157.0,3188.0,3142.5,344350.0,-0.17
345,2015-05-28,3166.68,3155.0,3191.0,3151.5,442170.0,0.58
346,2015-05-29,3178.8,3165.0,3182.0,3138.0,13590.0,0.38
347,2015-06-01,3216.28,3231.0,3246.0,3190.0,345580.0,1.18
348,2015-06-02,3163.36,3181.5,3190.5,3157.0,274390.0,-1.65
349,2015-06-03,3165.57,3166.5,3175.0,3133.0,295590.0,0.07
350,2015-06-05,3180.33,3170.5,3215.0,3126.0,282140.0,0.47
351,2015-06-08,3142.95,3165.0,3167.0,3133.0,269800.0,-1.18
352,2015-06-09,3125.55,3132.5,3141.0,3114.5,233130.0,-0.55
353,2015-06-10,3135.23,3098.0,3140.0,3084.5,289720.0,0.31
354,2015-06-11,3125.39,3179.0,3191.0,3109.0,396720.0,-0.31
355,2015-06-12,3133.28,3121.0,3148.0,3111.5,254800.0,0.25
356,2015-06-15,3143.69,3149.5,3155.0,3112.0,203820.0,0.33
357,2015-06-16,3103.48,3148.0,3157.0,3101.5,263600.0,-1.28
